[0.00s -> 3.00s]  Underweight.
[3.00s -> 5.00s]  How these guys so open.
[5.00s -> 8.00s]  This is still the number one defense in the NBA.
[8.00s -> 9.00s]  Gild yourself.
[9.00s -> 10.00s]  Anyway, okay, see.
[10.00s -> 11.00s]  Up by two.
[11.00s -> 14.00s]  Great anticipation by Pajewski.
[14.00s -> 16.00s]  Comes along with a little room service.
[16.00s -> 18.00s]  Raise the manufacturer points.
[18.00s -> 20.00s]  The no Jimmy Butler and no Steph Curry.
[20.00s -> 21.00s]  Donting task.
[21.00s -> 22.00s]  McCain from deep.
[22.00s -> 23.00s]  Bring it up.
[23.00s -> 24.00s]  Final 20.
[24.00s -> 25.00s]  Al Horpert cross court.
[25.00s -> 26.00s]  Knights flash by William.
[26.00s -> 27.00s]  One more inside.
[27.00s -> 28.00s]  By one.
[28.00s -> 29.00s]  59 days.
[29.00s -> 32.00s]  You're not going to be real sharp with your touch.
[32.00s -> 33.00s]  Joe.
[33.00s -> 35.00s]  Boy, somebody hit the snooze punch.
[35.00s -> 38.00s]  Bishop Aloi, where he played for the great Jack Kern.
[38.00s -> 39.00s]  Legend.
[39.00s -> 40.00s]  Gild yourself, Alexander.
[40.00s -> 42.00s]  Got to the rim and completed.
[42.00s -> 46.00s]  Gild yourself, Alexander rips through, splits the double.
[46.00s -> 49.00s]  Elevates and got the layup from the bench.
[49.00s -> 51.00s]  Ozingis kicks it out to Pajewski from deep.
[51.00s -> 53.00s]  Got it.
[53.00s -> 56.00s]  Around the Wiggins.
[56.00s -> 58.00s]  Joe off the nice back screen by Williams.
[58.00s -> 60.00s]  And they get a three out.
[60.00s -> 61.00s]  Got to create something.
[61.00s -> 62.00s]  They hit Pajewski.
[62.00s -> 63.00s]  Ozingis.
[63.00s -> 64.00s]  And he punches it.
[64.00s -> 65.00s]  Off the dorks bean.
[65.00s -> 67.00s]  And it comes back the other way.
[67.00s -> 68.00s]  Santos.
[68.00s -> 69.00s]  And one.
[69.00s -> 70.00s]  Count it.
[70.00s -> 72.00s]  Bratting it out.
[72.00s -> 74.00s]  Side step three.
[74.00s -> 76.00s]  S-G-A.
[76.00s -> 78.00s]  On the J-O-B.
[78.00s -> 79.00s]  Defense.
[79.00s -> 80.00s]  I couldn't get it off.
[80.00s -> 81.00s]  Got to shoot it quick.
[81.00s -> 82.00s]  Even if it's not a three.
[82.00s -> 83.00s]  And there's the defense.
[83.00s -> 87.00s]  On the rims, Alexander closing the game out.
[87.00s -> 89.00s]  That's it.
